Opened log file 'D:\rossrc\reactos_winkd_merge\hal\halx86\dumpIO_x86emu_x64.txt'
kd> g
WIO 0x03c4 (1) -- 07 
WIO 0x03c5 (1) -- 00 
WIO 0x03c6 (1) -- ff 
WIO 0x03c8 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 15 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 3f 
WIO 0x03c9 (1) -- 00 
WIO 0x03c9 (1) -- 2a 
WIO 0x03c9 (1) -- 3f 
